"intervention","space","time","costs"
"cliniczflourfcube","North","7",566644.31
"cliniczflourfcube","North","8",603811.06
"cliniczflourfcube","North","9",616556.03
"cliniczflourfcube","North","10",605707.29
"cliniczflourfcube","South","1",642762.90
"cliniczflourfcube","South","2",569826.95
"cliniczflourfcube","South","3",731633.93
"cliniczflourfcube","South","4",741942.28
"cliniczflourfcube","South","5",778546.76
"cliniczflourfcube","South","6",800130.77
"cliniczflourfcube","South","7",757608.48
"cliniczflourfcube","South","8",796638.05
"cliniczflourfcube","South","9",815861.99
"cliniczflourfcube","South","10",804757.85
"cliniczflourfcube","Cities","1",346086.41
"cliniczflourfcube","Cities","2",277874.88
"cliniczflourfcube","Cities","3",423815.08
"cliniczflourfcube","Cities","4",420949.82
"cliniczflourfcube","Cities","5",458744.49
"cliniczflourfcube","Cities","6",469348.68
"cliniczflourfcube","Cities","7",436094.00
"cliniczflourfcube","Cities","8",460835.94
"cliniczflourfcube","Cities","9",484921.50
"cliniczflourfcube","Cities","10",484714.76
"cliniczflourfcubefflour","North","1",397089.15
"cliniczflourfcubefflour","North","2",364752.80
"cliniczflourfcubefflour","North","3",455205.32
"cliniczflourfcubefflour","North","4",446462.35
"cliniczflourfcubefflour","North","5",472106.20
"cliniczflourfcubefflour","North","6",472578.41
"cliniczflourfcubefflour","North","7",463780.32
"cliniczflourfcubefflour","North","8",469483.75
"cliniczflourfcubefflour","North","9",489673.21
"cliniczflourfcubefflour","North","10",500558.73
"cliniczflourfcubefflour","South","1",578619.81
"cliniczflourfcubefflour","South","2",523177.03
"cliniczflourfcubefflour","South","3",661811.02
"cliniczflourfcubefflour","South","4",643531.54
"cliniczflourfcubefflour","South","5",679618.73
"cliniczflourfcubefflour","South","6",675927.05
"cliniczflourfcubefflour","South","7",657635.80
"cliniczflourfcubefflour","South","8",662355.28
"cliniczflourfcubefflour","South","9",690078.31
"cliniczflourfcubefflour","South","10",703198.14
"cliniczflourfcubefflour","Cities","1",314752.82
"cliniczflourfcubefflour","Cities","2",256809.37
"cliniczflourfcubefflour","Cities","3",401826.08
"cliniczflourfcubefflour","Cities","4",382861.82
"cliniczflourfcubefflour","Cities","5",420808.88
"cliniczflourfcubefflour","Cities","6",417241.64
"cliniczflourfcubefflour","Cities","7",398473.53
"cliniczflourfcubefflour","Cities","8",403826.31
"cliniczflourfcubefflour","Cities","9",433304.44
"cliniczflourfcubefflour","Cities","10",447596.69
"cliniczflourfflour","North","1",397089.15
"cliniczflourfflour","North","2",364752.80
"cliniczflourfflour","North","3",455205.32
"cliniczflourfflour","North","4",446462.35
"cliniczflourfflour","North","5",472106.20
"cliniczflourfflour","North","6",472578.41
"cliniczflourfflour","North","7",463780.32
"cliniczflourfflour","North","8",469483.75
"cliniczflourfflour","North","9",489673.21
"cliniczflourfflour","North","10",500558.73
"cliniczflourfflour","South","1",578619.81
"cliniczflourfflour","South","2",523177.03
"cliniczflourfflour","South","3",661811.02
"cliniczflourfflour","South","4",643531.54
"cliniczflourfflour","South","5",679618.73
"cliniczflourfflour","South","6",675927.05
"cliniczflourfflour","South","7",657635.80
"cliniczflourfflour","South","8",662355.28
"cliniczflourfflour","South","9",690078.31
"cliniczflourfflour","South","10",703198.14
"cliniczflourfflour","Cities","1",314752.82
"cliniczflourfflour","Cities","2",256809.37
"cliniczflourfflour","Cities","3",401826.08
"cliniczflourfflour","Cities","4",382861.82
"cliniczflourfflour","Cities","5",420808.88
"cliniczflourfflour","Cities","6",417241.64
"cliniczflourfflour","Cities","7",398473.53
"cliniczflourfflour","Cities","8",403826.31
"cliniczflourfflour","Cities","9",433304.44
"cliniczflourfflour","Cities","10",447596.69
"cliniczflourzcube","North","1",458822.74
"cliniczflourzcube","North","2",410671.28
"cliniczflourzcube","North","3",529587.49
"cliniczflourzcube","North","4",657635.67
"cliniczflourzcube","North","5",686601.95
"cliniczflourzcube","North","6",712929.56
"cliniczflourzcube","North","7",685017.39
"cliniczflourzcube","North","8",724846.20
"cliniczflourzcube","North","9",740277.82
"cliniczflourzcube","North","10",732139.26
"cliniczflourzcube","South","1",642762.90
"cliniczflourzcube","South","2",569826.95
"cliniczflourzcube","South","3",731633.93
"cliniczflourzcube","South","4",863558.22
"cliniczflourzcube","South","5",903006.11
"cliniczflourzcube","South","6",927461.97
"cliniczflourzcube","South","7",887840.17
"cliniczflourzcube","South","8",929798.49
"cliniczflourzcube","South","9",951978.23
"cliniczflourzcube","South","10",943855.76
"cliniczflourzcube","Cities","1",346086.41
"cliniczflourzcube","Cities","2",277874.88
"cliniczflourzcube","Cities","3",423815.08
"cliniczflourzcube","Cities","4",491336.33
"cliniczflourzcube","Cities","5",530776.64
"cliniczflourzcube","Cities","6",543042.95
"cliniczflourzcube","Cities","7",511466.95
"cliniczflourzcube","Cities","8",537903.94
"cliniczflourzcube","Cities","9",563700.20
"cliniczflourzcube","Cities","10",565219.13
"cliniczflourzcubefcube","North","1",458822.74
"cliniczflourzcubefcube","North","2",410671.28
"cliniczflourzcubefcube","North","3",529587.49
"cliniczflourzcubefcube","North","4",814103.02
"cliniczflourzcubefcube","North","5",846727.54
"cliniczflourzcubefcube","North","6",876749.98
"cliniczflourzcubefcube","North","7",852569.49
"cliniczflourzcubefcube","North","8",896166.34
"cliniczflourzcubefcube","North","9",915400.80
"cliniczflourzcubefcube","North","10",911098.37
"cliniczflourzcubefcube","South","1",642762.90
"cliniczflourzcubefcube","South","2",569826.95
"cliniczflourzcubefcube","South","3",731633.93
"cliniczflourzcubefcube","South","4",1035700.47
"cliniczflourzcubefcube","South","5",1079173.07
"cliniczflourzcubefcube","South","6",1107693.92
"cliniczflourzcubefcube","South","7",1072177.64
"cliniczflourzcubefcube","South","8",1118281.48
"cliniczflourzcubefcube","South","9",1144645.02
"cliniczflourzcubefcube","South","10",1140742.99
"cliniczflourzcubefcube","Cities","1",346086.41
