"intervention","space","time","lives_saved"
"cliniczflourfcube","South","5",861.44
"cliniczflourfcube","South","6",864.79
"cliniczflourfcube","South","7",868.02
"cliniczflourfcube","South","8",870.25
"cliniczflourfcube","South","9",872.49
"cliniczflourfcube","South","10",873.60
"cliniczflourfcube","Cities","1",554.87
"cliniczflourfcube","Cities","2",569.94
"cliniczflourfcube","Cities","3",586.01
"cliniczflourfcube","Cities","4",601.08
"cliniczflourfcube","Cities","5",615.05
"cliniczflourfcube","Cities","6",629.02
"cliniczflourfcube","Cities","7",642.90
"cliniczflourfcube","Cities","8",654.77
"cliniczflourfcube","Cities","9",667.65
"cliniczflourfcube","Cities","10",677.43
"cliniczflourfcubefflour","North","1",824.92
"cliniczflourfcubefflour","North","2",830.38
"cliniczflourfcubefflour","North","3",838.05
"cliniczflourfcubefflour","North","4",850.24
"cliniczflourfcubefflour","North","5",863.06
"cliniczflourfcubefflour","North","6",876.29
"cliniczflourfcubefflour","North","7",890.84
"cliniczflourfcubefflour","North","8",907.70
"cliniczflourfcubefflour","North","9",926.87
"cliniczflourfcubefflour","North","10",946.57
"cliniczflourfcubefflour","South","1",868.69
"cliniczflourfcubefflour","South","2",873.16
"cliniczflourfcubefflour","South","3",877.51
"cliniczflourfcubefflour","South","4",881.97
"cliniczflourfcubefflour","South","5",885.44
"cliniczflourfcubefflour","South","6",889.79
"cliniczflourfcubefflour","South","7",893.02
"cliniczflourfcubefflour","South","8",895.25
"cliniczflourfcubefflour","South","9",897.49
"cliniczflourfcubefflour","South","10",897.60
"cliniczflourfcubefflour","Cities","1",566.87
"cliniczflourfcubefflour","Cities","2",581.94
"cliniczflourfcubefflour","Cities","3",598.01
"cliniczflourfcubefflour","Cities","4",613.08
"cliniczflourfcubefflour","Cities","5",628.05
"cliniczflourfcubefflour","Cities","6",643.02
"cliniczflourfcubefflour","Cities","7",655.90
"cliniczflourfcubefflour","Cities","8",668.77
"cliniczflourfcubefflour","Cities","9",681.65
"cliniczflourfcubefflour","Cities","10",692.43
"cliniczflourfflour","North","1",703.92
"cliniczflourfflour","North","2",709.38
"cliniczflourfflour","North","3",715.05
"cliniczflourfflour","North","4",724.24
"cliniczflourfflour","North","5",735.06
"cliniczflourfflour","North","6",746.29
"cliniczflourfflour","North","7",758.84
"cliniczflourfflour","North","8",772.70
"cliniczflourfflour","North","9",788.87
"cliniczflourfflour","North","10",805.57
"cliniczflourfflour","South","1",696.69
"cliniczflourfflour","South","2",701.16
"cliniczflourfflour","South","3",704.51
"cliniczflourfflour","South","4",707.97
"cliniczflourfflour","South","5",711.44
"cliniczflourfflour","South","6",713.79
"cliniczflourfflour","South","7",717.02
"cliniczflourfflour","South","8",718.25
"cliniczflourfflour","South","9",720.49
"cliniczflourfflour","South","10",721.60
"cliniczflourfflour","Cities","1",553.87
"cliniczflourfflour","Cities","2",569.94
"cliniczflourfflour","Cities","3",585.01
"cliniczflourfflour","Cities","4",600.08
"cliniczflourfflour","Cities","5",615.05
"cliniczflourfflour","Cities","6",629.02
"cliniczflourfflour","Cities","7",641.90
"cliniczflourfflour","Cities","8",654.77
"cliniczflourfflour","Cities","9",667.65
"cliniczflourfflour","Cities","10",677.43
"cliniczflourzcube","North","1",638.52
"cliniczflourzcube","North","2",642.88
"cliniczflourzcube","North","3",647.55
"cliniczflourzcube","North","4",653.63
"cliniczflourzcube","North","5",662.56
"cliniczflourzcube","North","6",672.69
"cliniczflourzcube","North","7",684.23
"cliniczflourzcube","North","8",695.99
"cliniczflourzcube","North","9",709.16
"cliniczflourzcube","North","10",722.75
"cliniczflourzcube","South","1",527.88
"cliniczflourzcube","South","2",530.23
"cliniczflourzcube","South","3",532.69
"cliniczflourzcube","South","4",536.16
"cliniczflourzcube","South","5",538.51
"cliniczflourzcube","South","6",540.86
"cliniczflourzcube","South","7",543.09
"cliniczflourzcube","South","8",544.44
"cliniczflourzcube","South","9",545.55
"cliniczflourzcube","South","10",546.79
"cliniczflourzcube","Cities","1",438.38
"cliniczflourzcube","Cities","2",451.45
"cliniczflourzcube","Cities","3",464.52
"cliniczflourzcube","Cities","4",477.49
"cliniczflourzcube","Cities","5",489.47
"cliniczflourzcube","Cities","6",501.44
"cliniczflourzcube","Cities","7",512.32
"cliniczflourzcube","Cities","8",523.19
"cliniczflourzcube","Cities","9",533.97
"cliniczflourzcube","Cities","10",543.75
"cliniczflourzcubefcube","North","1",935.52
"cliniczflourzcubefcube","North","2",941.88
"cliniczflourzcubefcube","North","3",950.55
"cliniczflourzcubefcube","North","4",962.63
"cliniczflourzcubefcube","North","5",977.56
"cliniczflourzcubefcube","North","6",992.69
"cliniczflourzcubefcube","North","7",1009.23
"cliniczflourzcubefcube","North","8",1027.99
"cliniczflourzcubefcube","North","9",1049.16
"cliniczflourzcubefcube","North","10",1070.75
"cliniczflourzcubefcube","South","1",959.88
"cliniczflourzcubefcube","South","2",964.23
"cliniczflourzcubefcube","South","3",968.69
"cliniczflourzcubefcube","South","4",975.16
"cliniczflourzcubefcube","South","5",978.51
"cliniczflourzcubefcube","South","6",981.86
"cliniczflourzcubefcube","South","7",986.09
"cliniczflourzcubefcube","South","8",988.44
"cliniczflourzcubefcube","South","9",990.55
"cliniczflourzcubefcube","South","10",991.79
"cliniczflourzcubefcube","Cities","1",621.38
"cliniczflourzcubefcube","Cities","2",639.45
"cliniczflourzcubefcube","Cities","3",657.52
"cliniczflourzcubefcube","Cities","4",674.49
"cliniczflourzcubefcube","Cities","5",689.47
"cliniczflourzcubefcube","Cities","6",705.44
"cliniczflourzcubefcube","Cities","7",721.32
"cliniczflourzcubefcube","Cities","8",735.19
"cliniczflourzcubefcube","Cities","9",748.97
"cliniczflourzcubefcube","Cities","10",760.75
"cliniczflourzcubefcubefflour","North","1",942.52
"cliniczflourzcubefcubefflour","North","2",948.88
"cliniczflourzcubefcubefflour","North","3",957.55
"cliniczflourzcubefcubefflour","North","4",970.63
"cliniczflourzcubefcubefflour","North","5",984.56
"cliniczflourzcubefcubefflour","North","6",999.69
"cliniczflourzcubefcubefflour","North","7",1017.23
"cliniczflourzcubefcubefflour","North","8",1035.99
"cliniczflourzcubefcubefflour","North","9",1057.16
"cliniczflourzcubefcubefflour","North","10",1078.75
"cliniczflourzcubefcubefflour","South","1",983.88
"cliniczflourzcubefcubefflour","South","2",988.23
"cliniczflourzcubefcubefflour","South","3",992.69
"cliniczflourzcubefcubefflour","South","4",999.16
"cliniczflourzcubefcubefflour","South","5",1002.51
"cliniczflourzcubefcubefflour","South","6",1006.86
"cliniczflourzcubefcubefflour","South","7",1011.09
"cliniczflourzcubefcubefflour","South","8",1013.44
"cliniczflourzcubefcubefflour","South","9",1015.55
"cliniczflourzcubefcubefflour","South","10",1015.79
"cliniczflourzcubefcubefflour","Cities","1",633.38
"cliniczflourzcubefcubefflour","Cities","2",651.45
"cliniczflourzcubefcubefflour","Cities","3",669.52
"cliniczflourzcubefcubefflour","Cities","4",686.49
"cliniczflourzcubefcubefflour","Cities","5",702.47
"cliniczflourzcubefcubefflour","Cities","6",719.44
"cliniczflourzcubefcubefflour","Cities","7",734.32
"cliniczflourzcubefcubefflour","Cities","8",749.19
"cliniczflourzcubefcubefflour","Cities","9",762.97
"cliniczflourzcubefcubefflour","Cities","10",775.75
"cliniczflourzcubefflour","North","1",821.52
"cliniczflourzcubefflour","North","2",827.88
"cliniczflourzcubefflour","North","3",834.55
"cliniczflourzcubefflour","North","4",844.63
"cliniczflourzcubefflour","North","5",856.56
"cliniczflourzcubefflour","North","6",869.69
"cliniczflourzcubefflour","North","7",885.23
"cliniczflourzcubefflour","North","8",900.99
"cliniczflourzcubefflour","North","9",919.16
"cliniczflourzcubefflour","North","10",937.75
"cliniczflourzcubefflour","South","1",811.88
"cliniczflourzcubefflour","South","2",816.23
"cliniczflourzcubefflour","South","3",819.69
"cliniczflourzcubefflour","South","4",825.16
"cliniczflourzcubefflour","South","5",828.51
"cliniczflourzcubefflour","South","6",830.86
"cliniczflourzcubefflour","South","7",835.09
"cliniczflourzcubefflour","South","8",836.44
"cliniczflourzcubefflour","South","9",838.55
"cliniczflourzcubefflour","South","10",839.79
"cliniczflourzcubefflour","Cities","1",620.38
"cliniczflourzcubefflour","Cities","2",639.45
"cliniczflourzcubefflour","Cities","3",656.52
"cliniczflourzcubefflour","Cities","4",673.49
"cliniczflourzcubefflour","Cities","5",689.47
"cliniczflourzcubefflour","Cities","6",705.44
"cliniczflourzcubefflour","Cities","7",720.32
"cliniczflourzcubefflour","Cities","8",735.19
"cliniczflourzcubefflour","Cities","9",748.97
"cliniczflourzcubefflour","Cities","10",760.75
"cube","North","1",0.00
"cube","North","2",0.00
"cube","North","3",0.00
"cube","North","4",794.09
"cube","North","5",805.34
"cube","North","6",817.65
"cube","North","7",832.06
"cube","North","8",846.47
"cube","North","9",862.99
"cube","North","10",881.27
"cube","South","1",0.00
"cube","South","2",0.00
"cube","South","3",0.00
"cube","South","4",512.22
"cube","South","5",515.03
"cube","South","6",516.71
"cube","South","7",518.40
"cube","South","8",520.08
"cube","South","9",521.77
"cube","South","10",522.33
"cube","Cities","1",0.00
"cube","Cities","2",0.00
