,intervention,space,time,opt_vals,opt_benefit,opt_costs
140,oilcube,South,1,0,0.0,0.0
141,oilcube,South,2,0,0.0,0.0
142,oilcube,South,3,0,0.0,0.0
143,oilcube,South,4,0,0.0,0.0
144,oilcube,South,5,0,0.0,0.0
145,oilcube,South,6,0,0.0,0.0
146,oilcube,South,7,0,0.0,0.0
147,oilcube,South,8,0,0.0,0.0
148,oilcube,South,9,0,0.0,0.0
149,oilcube,South,10,0,0.0,0.0
150,oilcubemaize,Cities,1,0,0.0,0.0
151,oilcubemaize,Cities,2,0,0.0,0.0
152,oilcubemaize,Cities,3,0,0.0,0.0
153,oilcubemaize,Cities,4,0,0.0,0.0
154,oilcubemaize,Cities,5,0,0.0,0.0
155,oilcubemaize,Cities,6,0,0.0,0.0
156,oilcubemaize,Cities,7,0,0.0,0.0
157,oilcubemaize,Cities,8,0,0.0,0.0
158,oilcubemaize,Cities,9,0,0.0,0.0
159,oilcubemaize,Cities,10,0,0.0,0.0
160,oilcubemaize,North,1,0,0.0,0.0
161,oilcubemaize,North,2,0,0.0,0.0
162,oilcubemaize,North,3,0,0.0,0.0
163,oilcubemaize,North,4,0,0.0,0.0
164,oilcubemaize,North,5,0,0.0,0.0
165,oilcubemaize,North,6,0,0.0,0.0
166,oilcubemaize,North,7,0,0.0,0.0
167,oilcubemaize,North,8,0,0.0,0.0
168,oilcubemaize,North,9,0,0.0,0.0
169,oilcubemaize,North,10,0,0.0,0.0
170,oilcubemaize,South,1,0,0.0,0.0
171,oilcubemaize,South,2,0,0.0,0.0
172,oilcubemaize,South,3,0,0.0,0.0
173,oilcubemaize,South,4,0,0.0,0.0
174,oilcubemaize,South,5,0,0.0,0.0
175,oilcubemaize,South,6,0,0.0,0.0
176,oilcubemaize,South,7,0,0.0,0.0
177,oilcubemaize,South,8,0,0.0,0.0
178,oilcubemaize,South,9,0,0.0,0.0
179,oilcubemaize,South,10,0,0.0,0.0
180,oilmaize,Cities,1,0,0.0,0.0
181,oilmaize,Cities,2,0,0.0,0.0
182,oilmaize,Cities,3,0,0.0,0.0
183,oilmaize,Cities,4,1,193793.97859714102,172464.50173289402
184,oilmaize,Cities,5,0,0.0,0.0
185,oilmaize,Cities,6,1,200132.150205425,177830.39318089103
186,oilmaize,Cities,7,1,203046.55615637,178673.80725866603
187,oilmaize,Cities,8,1,205816.73310706601,180802.87168341
188,oilmaize,Cities,9,1,208482.677334894,182960.11540883302
189,oilmaize,Cities,10,0,0.0,0.0
190,oilmaize,North,1,0,0.0,0.0
191,oilmaize,North,2,0,0.0,0.0
192,oilmaize,North,3,0,0.0,0.0
193,oilmaize,North,4,1,362354.553468588,225774.746479366
194,oilmaize,North,5,1,368432.61216633,284135.827692841
195,oilmaize,North,6,1,374205.62004739704,234917.79641305603
196,oilmaize,North,7,1,379654.954823562,230243.337223752
197,oilmaize,North,8,1,384834.61127762205,231775.54038932698
198,oilmaize,North,9,1,389819.374154361,233328.023079186
199,oilmaize,North,10,1,394727.381673805,291794.100678582
200,oilmaize,South,1,0,0.0,0.0
201,oilmaize,South,2,0,0.0,0.0
202,oilmaize,South,3,0,0.0,0.0
203,oilmaize,South,4,0,0.0,0.0
204,oilmaize,South,5,0,0.0,0.0
205,oilmaize,South,6,0,0.0,0.0
206,oilmaize,South,7,0,0.0,0.0
207,oilmaize,South,8,0,0.0,0.0
208,oilmaize,South,9,0,0.0,0.0
209,oilmaize,South,10,0,0.0,0.0
210,vas,Cities,1,0,0.0,0.0
211,vas,Cities,2,0,0.0,0.0
212,vas,Cities,3,0,0.0,0.0
213,vas,Cities,4,0,0.0,0.0
214,vas,Cities,5,0,0.0,0.0
215,vas,Cities,6,0,0.0,0.0
216,vas,Cities,7,0,0.0,0.0
217,vas,Cities,8,0,0.0,0.0
218,vas,Cities,9,0,0.0,0.0
219,vas,Cities,10,0,0.0,0.0
220,vas,North,1,0,0.0,0.0
221,vas,North,2,0,0.0,0.0
222,vas,North,3,0,0.0,0.0
223,vas,North,4,0,0.0,0.0
224,vas,North,5,0,0.0,0.0
225,vas,North,6,0,0.0,0.0
226,vas,North,7,0,0.0,0.0
227,vas,North,8,0,0.0,0.0
228,vas,North,9,0,0.0,0.0
229,vas,North,10,0,0.0,0.0
230,vas,South,1,0,0.0,0.0
231,vas,South,2,0,0.0,0.0
232,vas,South,3,0,0.0,0.0
233,vas,South,4,0,0.0,0.0
234,vas,South,5,0,0.0,0.0
235,vas,South,6,0,0.0,0.0
236,vas,South,7,0,0.0,0.0
237,vas,South,8,0,0.0,0.0
238,vas,South,9,0,0.0,0.0
239,vas,South,10,0,0.0,0.0
