,Unnamed: 0,vehicle,nutrient,compound,nut,fort,fort_prop,price,fort_level,fort_over,upper_bound
60,60,Maize Flour,Vitamin B12,Vit. B-12 0.1% WS,Vitamin B12,Vit. B-12 0.1% WS,0.001,42.0,0.0,0.0,1000
61,61,Wheat Flour,Vitamin B12,Vit. B-12 0.1% WS,Vitamin B12,Vit. B-12 0.1% WS,0.001,42.0,0.0,0.0,1000
62,62,Bouillon,Vitamin B2 (Riboflavin),Riboflavin,Vitamin B2 (Riboflavin),Riboflavin,1.0,38.0,0.0,0.0,1000
63,63,Maize Flour,Vitamin B2 (Riboflavin),Riboflavin,Vitamin B2 (Riboflavin),Riboflavin,1.0,38.0,0.0,0.0,1000
64,64,Rice,Vitamin B2 (Riboflavin),Riboflavin,Vitamin B2 (Riboflavin),Riboflavin,1.0,38.0,0.0,0.0,1000
65,65,Wheat Flour,Vitamin B2 (Riboflavin),Riboflavin,Vitamin B2 (Riboflavin),Riboflavin,1.0,38.0,0.0,0.0,1000
66,66,Bouillon,Vitamin B3 (Niacin),Niacinamide,Vitamin B3 (Niacin),Niacinamide,0.99,11.5,0.0,0.0,1000
67,67,Maize Flour,Vitamin B3 (Niacin),Niacinamide,Vitamin B3 (Niacin),Niacinamide,0.99,11.5,0.0,0.0,1000
68,68,Rice,Vitamin B3 (Niacin),Niacinamide,Vitamin B3 (Niacin),Niacinamide,0.99,11.5,0.0,0.0,1000
69,69,Wheat Flour,Vitamin B3 (Niacin),Niacinamide,Vitamin B3 (Niacin),Niacinamide,0.99,11.5,0.0,0.0,1000
70,70,Bouillon,Vitamin B6,Pyridoxine hydrochloride,Vitamin B6,Pyridoxine hydrochloride,0.82,33.0,0.0,0.0,1000
71,71,Maize Flour,Vitamin B6,Pyridoxine hydrochloride,Vitamin B6,Pyridoxine hydrochloride,0.82,33.0,0.0,0.0,1000
72,72,Rice,Vitamin B6,Pyridoxine hydrochloride,Vitamin B6,Pyridoxine hydrochloride,0.82,33.0,0.0,0.0,1000
73,73,Wheat Flour,Vitamin B6,Pyridoxine hydrochloride,Vitamin B6,Pyridoxine hydrochloride,0.82,33.0,0.0,0.0,1000
74,74,Bouillon,Vitamin D,"D-3  100,000 IU/g (dry)",Vitamin D,"D-3  100,000 IU/g (dry)",0.0025,37.0,0.0,0.0,1000
75,75,Maize Flour,Vitamin D,"D-3  100,000 IU/g (dry)",Vitamin D,"D-3  100,000 IU/g (dry)",0.0025,37.0,0.0,0.0,1000
76,76,Rice,Vitamin D,"D-3  100,000 IU/g (dry)",Vitamin D,"D-3  100,000 IU/g (dry)",0.0025,37.0,0.0,0.0,1000
77,77,Wheat Flour,Vitamin D,"D-3  100,000 IU/g (dry)",Vitamin D,"D-3  100,000 IU/g (dry)",0.0025,37.0,0.0,0.0,1000
78,78,Bouillon,Vitamin D,D-3 1.0 m IU/g (oil),Vitamin D,D-3 1.0 m IU/g (oil),0.025,90.0,0.0,0.0,1000
79,79,Refined Oil,Vitamin D,D-3 1.0 m IU/g (oil),Vitamin D,D-3 1.0 m IU/g (oil),0.025,90.0,0.0,0.0,1000
80,80,Bouillon,Vitamin E,all rac-a-tocopheryl acetate (dry),Vitamin E,all rac-a-tocopheryl acetate (dry),0.23,33.0,0.0,0.0,1000
81,81,Maize Flour,Vitamin E,all rac-a-tocopheryl acetate (dry),Vitamin E,all rac-a-tocopheryl acetate (dry),0.23,33.0,0.0,0.0,1000
82,82,Rice,Vitamin E,all rac-a-tocopheryl acetate (dry),Vitamin E,all rac-a-tocopheryl acetate (dry),0.23,33.0,0.0,0.0,1000
83,83,Wheat Flour,Vitamin E,all rac-a-tocopheryl acetate (dry),Vitamin E,all rac-a-tocopheryl acetate (dry),0.23,33.0,0.0,0.0,1000
84,84,Bouillon,Vitamin E,all rac-a-tocopheryl acetate (oil),Vitamin E,all rac-a-tocopheryl acetate (oil),0.45,24.0,0.0,0.0,1000
85,85,Refined Oil,Vitamin E,all rac-a-tocopheryl acetate (oil),Vitamin E,all rac-a-tocopheryl acetate (oil),0.45,24.0,0.0,0.0,1000
86,86,Bouillon,Zinc,Zinc Oxide,Zinc,Zinc Oxide,0.8,6.75,3000.0,0.0,1000
87,87,Maize Flour,Zinc,Zinc Oxide,Zinc,Zinc Oxide,0.8,6.75,0.0,0.0,1000
88,88,Rice,Zinc,Zinc Oxide,Zinc,Zinc Oxide,0.8,6.75,0.0,0.0,1000
89,89,Salt,Zinc,Zinc Oxide,Zinc,Zinc Oxide,0.8,6.75,0.0,0.0,1000
90,90,Wheat Flour,Zinc,Zinc Oxide,Zinc,Zinc Oxide,0.8,6.75,0.0,0.0,1000
91,91,Bouillon,Zinc,"Zinc Sulfate, dried",Zinc,"Zinc Sulfate, dried",0.36,10.19,0.0,0.0,1000
92,92,Maize Flour,Zinc,"Zinc Sulfate, dried",Zinc,"Zinc Sulfate, dried",0.36,10.19,0.0,0.0,1000
93,93,Rice,Zinc,"Zinc Sulfate, dried",Zinc,"Zinc Sulfate, dried",0.36,10.19,0.0,0.0,1000
94,94,Salt,Zinc,"Zinc Sulfate, dried",Zinc,"Zinc Sulfate, dried",0.36,10.19,0.0,0.0,1000
95,95,Wheat Flour,Zinc,"Zinc Sulfate, dried",Zinc,"Zinc Sulfate, dried",0.36,10.19,0.0,0.0,1000
96,96,Maize Flour,Iron,Ferrous sulfate dried,Iron,Ferrous sulfate dried,0.32,5.13,0.0,0.0,1000
97,97,Salt,Iron,Ferrous sulfate dried,Iron,Ferrous sulfate dried,0.32,5.13,0.0,0.0,1000
98,98,Wheat Flour,Iron,Ferrous sulfate dried,Iron,Ferrous sulfate dried,0.32,5.13,0.0,0.0,1000
99,99,Maize Flour,Magnesium,Magnesium Oxide,Magnesium,Magnesium Oxide,0.58,4.46,0.0,0.0,1000
100,100,Rice,Magnesium,Magnesium Oxide,Magnesium,Magnesium Oxide,0.58,4.46,0.0,0.0,1000
101,101,Salt,Magnesium,Magnesium Oxide,Magnesium,Magnesium Oxide,0.58,4.46,0.0,0.0,1000
102,102,Wheat Flour,Magnesium,Magnesium Oxide,Magnesium,Magnesium Oxide,0.58,4.46,0.0,0.0,1000
