intervention,region,time,effective_coverage,above_ul,costs,pop
cube 1 + current fortification,Centre-Nord,2020,2091.1592623081324,,21877317746.457615,259646.7723712599
cube 1 + current fortification,Centre-Nord,2021,2133.0970840238792,,22316063406.726933,264853.94154533616
cube 1 + current fortification,Centre-Nord,2022,2172.4098775251086,,22727346511.954403,269735.176623637
cube 1 + current fortification,Centre-Nord,2023,2210.2587014026885,,23123313840.327847,274434.63932597317
cube 1 + current fortification,Centre-Nord,2024,2248.560386307411,,23524018916.210224,279190.3310808496
cube 1 + current fortification,Centre-Nord,2025,2289.0697687194565,,23947820511.198685,284220.1394668599
cube 1 + current fortification,Centre-Nord,2026,2333.529640942749,,24412951392.967247,289740.4566090727
cube 1 + current fortification,Centre-Nord,2027,2376.6405654256164,,24863969835.347485,295093.28295648465
cube 1 + current fortification,Centre-Nord,2028,2419.111341940594,,25308291169.214424,300366.6259490425
cube 1 + current fortification,Centre-Nord,2029,2461.422533120208,,25750942951.100147,305620.1541823939
