"intervention","space","time","costs"
"maxoilcube","North","4",312809.56
"maxoilcube","North","5",343715.97
"maxoilcube","North","6",362636.69
"maxoilcube","North","7",323915.51
"maxoilcube","North","8",358412.92
"maxoilcube","North","9",374007.34
"maxoilcube","North","10",362666.49
"maxoilcube","South","1",196939.00
"maxoilcube","South","2",180931.26
"maxoilcube","South","3",264271.88
"maxoilcube","South","4",296683.27
"maxoilcube","South","5",322546.69
"maxoilcube","South","6",344823.77
"maxoilcube","South","7",307204.99
"maxoilcube","South","8",344574.19
"maxoilcube","South","9",355580.74
"maxoilcube","South","10",340473.28
"maxoilcube","Cities","1",229226.24
"maxoilcube","Cities","2",221088.75
"maxoilcube","Cities","3",301304.54
"maxoilcube","Cities","4",305903.98
"maxoilcube","Cities","5",343884.93
"maxoilcube","Cities","6",352647.61
"maxoilcube","Cities","7",316791.00
"maxoilcube","Cities","8",340070.47
"maxoilcube","Cities","9",363829.06
"maxoilcube","Cities","10",362522.74
"cubezcube","North","1",69578.81
"cubezcube","North","2",53958.44
"cubezcube","North","3",99343.35
"cubezcube","North","4",154201.00
"cubezcube","North","5",156127.50
"cubezcube","North","6",180568.40
"cubezcube","North","7",160020.63
"cubezcube","North","8",192692.73
"cubezcube","North","9",186461.87
"cubezcube","North","10",165944.80
"cubezcube","South","1",76549.21
"cubezcube","South","2",59364.00
"cubezcube","South","3",109295.57
"cubezcube","South","4",169648.85
"cubezcube","South","5",171768.35
"cubezcube","South","6",198657.73
"cubezcube","South","7",176051.49
"cubezcube","South","8",211996.68
"cubezcube","South","9",205141.61
"cubezcube","South","10",182569.14
"cubezcube","Cities","1",44303.66
"cubezcube","Cities","2",34357.54
"cubezcube","Cities","3",63255.95
"cubezcube","Cities","4",98186.05
"cubezcube","Cities","5",99412.73
"cubezcube","Cities","6",114975.24
"cubezcube","Cities","7",101891.65
"cubezcube","Cities","8",122695.30
"cubezcube","Cities","9",118727.86
"cubezcube","Cities","10",105663.80
"oil","North","1",94153.32
"oil","North","2",95585.94
"oil","North","3",97040.99
"oil","North","4",98518.57
"oil","North","5",100018.98
"oil","North","6",101543.00
"oil","North","7",103091.75
"oil","North","8",104666.18
"oil","North","9",106267.05
"oil","North","10",107895.29
"oil","South","1",77384.85
"oil","South","2",78562.33
"oil","South","3",79758.24
"oil","South","4",80972.67
"oil","South","5",82205.85
"oil","South","6",83458.46
"oil","South","7",84731.37
"oil","South","8",86025.41
"oil","South","9",87341.16
"oil","South","10",88679.42
"oil","Cities","1",118865.62
"oil","Cities","2",120674.26
"oil","Cities","3",122511.21
"oil","Cities","4",124376.62
"oil","Cities","5",126270.83
"oil","Cities","6",128194.87
"oil","Cities","7",130150.11
"oil","Cities","8",132137.78
"oil","Cities","9",134158.83
"oil","Cities","10",136214.43
"oilcube","North","1",163732.13
"oilcube","North","2",149544.38
"oilcube","North","3",196384.34
"oilcube","North","4",240766.16
"oilcube","North","5",243924.51
"oilcube","North","6",269618.99
"oilcube","North","7",250347.71
"oilcube","North","8",284320.32
"oilcube","North","9",279414.97
"oilcube","North","10",260249.60
"oilcube","South","1",153934.07
"oilcube","South","2",137926.33
"oilcube","South","3",189053.80
"oilcube","South","4",237470.61
"oilcube","South","5",240527.84
"oilcube","South","6",268372.29
"oilcube","South","7",246739.44
"oilcube","South","8",283677.28
"oilcube","South","9",277835.03
"oilcube","South","10",256296.57
"oilcube","Cities","1",163169.28
"oilcube","Cities","2",155031.79
"oilcube","Cities","3",185767.16
"oilcube","Cities","4",214951.44
"oilcube","Cities","5",217901.34
"oilcube","Cities","6",235215.69
"oilcube","Cities","7",223913.97
"oilcube","Cities","8",246530.88
"oilcube","Cities","9",244409.15
"oilcube","Cities","10",233224.61
"oilcubevas","North","1",1184589.72
"oilcubevas","North","2",1171446.14
"oilcubevas","North","3",1219348.64
"oilcubevas","North","4",1264802.08
