"intervention","space","time","lives_saved"
"maxoilcube","South","6",1022.11
"maxoilcube","South","7",1025.73
"maxoilcube","South","8",1029.15
"maxoilcube","South","9",1030.96
"maxoilcube","South","10",1031.77
"maxoilcube","Cities","1",195.80
"maxoilcube","Cities","2",202.15
"maxoilcube","Cities","3",230.32
"maxoilcube","Cities","4",507.49
"maxoilcube","Cities","5",518.99
"maxoilcube","Cities","6",530.71
"maxoilcube","Cities","7",541.89
"maxoilcube","Cities","8",551.84
"maxoilcube","Cities","9",561.80
"maxoilcube","Cities","10",569.97
"cubezcube","North","1",0.00
"cubezcube","North","2",0.00
"cubezcube","North","3",0.00
"cubezcube","North","4",600.05
"cubezcube","North","5",608.49
"cubezcube","North","6",617.98
"cubezcube","North","7",628.53
"cubezcube","North","8",639.42
"cubezcube","North","9",652.08
"cubezcube","North","10",665.79
"cubezcube","South","1",0.00
"cubezcube","South","2",0.00
"cubezcube","South","3",0.00
"cubezcube","South","4",399.89
"cubezcube","South","5",402.14
"cubezcube","South","6",403.82
"cubezcube","South","7",404.95
"cubezcube","South","8",406.63
"cubezcube","South","9",407.19
"cubezcube","South","10",407.75
"cubezcube","Cities","1",0.00
"cubezcube","Cities","2",0.00
"cubezcube","Cities","3",0.00
"cubezcube","Cities","4",164.24
"cubezcube","Cities","5",168.74
"cubezcube","Cities","6",172.82
"cubezcube","Cities","7",176.09
"cubezcube","Cities","8",179.77
"cubezcube","Cities","9",183.44
"cubezcube","Cities","10",186.71
"oil","North","1",405.98
"oil","North","2",408.67
"oil","North","3",411.84
"oil","North","4",416.48
"oil","North","5",422.33
"oil","North","6",428.92
"oil","North","7",436.24
"oil","North","8",443.80
"oil","North","9",452.58
"oil","North","10",462.10
"oil","South","1",235.27
"oil","South","2",236.27
"oil","South","3",237.95
"oil","South","4",238.96
"oil","South","5",240.30
"oil","South","6",241.31
"oil","South","7",241.98
"oil","South","8",242.99
"oil","South","9",243.32
"oil","South","10",243.66
"oil","Cities","1",195.80
"oil","Cities","2",202.15
"oil","Cities","3",207.44
"oil","Cities","4",212.73
"oil","Cities","5",218.55
"oil","Cities","6",223.84
"oil","Cities","7",228.08
"oil","Cities","8",232.84
"oil","Cities","9",237.60
"oil","Cities","10",241.84
"oilcube","North","1",405.98
"oilcube","North","2",408.67
"oilcube","North","3",411.84
"oilcube","North","4",1347.45
"oilcube","North","5",1368.05
"oilcube","North","6",1389.47
"oilcube","North","7",1412.72
"oilcube","North","8",1438.58
"oilcube","North","9",1468.48
"oilcube","North","10",1500.21
"oilcube","South","1",235.27
"oilcube","South","2",236.27
"oilcube","South","3",237.95
"oilcube","South","4",1007.14
"oilcube","South","5",1011.33
"oilcube","South","6",1014.72
"oilcube","South","7",1018.32
"oilcube","South","8",1021.71
"oilcube","South","9",1023.51
"oilcube","South","10",1024.31
"oilcube","Cities","1",195.80
"oilcube","Cities","2",202.15
"oilcube","Cities","3",207.44
"oilcube","Cities","4",498.89
"oilcube","Cities","5",510.15
"oilcube","Cities","6",521.66
"oilcube","Cities","7",532.67
"oilcube","Cities","8",542.43
"oilcube","Cities","9",552.19
"oilcube","Cities","10",560.19
"oilcubevas","North","1",1359.51
"oilcubevas","North","2",1368.50
"oilcubevas","North","3",1379.12
"oilcubevas","North","4",1884.48
"oilcubevas","North","5",1912.63
"oilcubevas","North","6",1942.55
"oilcubevas","North","7",1975.24
"oilcubevas","North","8",2010.85
"oilcubevas","North","9",2052.08
"oilcubevas","North","10",2096.07
"oilcubevas","South","1",607.37
"oilcubevas","South","2",609.97
"oilcubevas","South","3",614.30
"oilcubevas","South","4",1097.36
"oilcubevas","South","5",1102.05
"oilcubevas","South","6",1105.83
"oilcubevas","South","7",1109.68
"oilcubevas","South","8",1113.45
"oilcubevas","South","9",1115.38
"oilcubevas","South","10",1116.30
"oilcubevas","Cities","1",293.70
"oilcubevas","Cities","2",303.22
"oilcubevas","Cities","3",311.16
"oilcubevas","Cities","4",526.26
"oilcubevas","Cities","5",538.27
"oilcubevas","Cities","6",550.46
"oilcubevas","Cities","7",562.02
"oilcubevas","Cities","8",572.39
"oilcubevas","Cities","9",582.76
"oilcubevas","Cities","10",591.31
"maxoilvas","North","1",1359.51
"maxoilvas","North","2",1368.50
"maxoilvas","North","3",1406.22
"maxoilvas","North","4",1422.04
"maxoilvas","North","5",1442.04
"maxoilvas","North","6",1464.53
"maxoilvas","North","7",1489.52
"maxoilvas","North","8",1515.35
"maxoilvas","North","9",1545.34
"maxoilvas","North","10",1577.83
"maxoilvas","South","1",607.37
"maxoilvas","South","2",609.97
"maxoilvas","South","3",614.30
"maxoilvas","South","4",616.90
"maxoilvas","South","5",620.37
"maxoilvas","South","6",622.97
"maxoilvas","South","7",624.70
"maxoilvas","South","8",627.30
"maxoilvas","South","9",628.17
"maxoilvas","South","10",629.03
"maxoilvas","Cities","1",293.70
"maxoilvas","Cities","2",303.22
"maxoilvas","Cities","3",314.21
"maxoilvas","Cities","4",322.23
"maxoilvas","Cities","5",331.04
"maxoilvas","Cities","6",339.06
"maxoilvas","Cities","7",345.47
"maxoilvas","Cities","8",352.68
"maxoilvas","Cities","9",359.90
"maxoilvas","Cities","10",366.31
"maxoilcubevas","North","1",1359.51
"maxoilcubevas","North","2",1368.50
"maxoilcubevas","North","3",1406.22
"maxoilcubevas","North","4",1895.44
"maxoilcubevas","North","5",1923.75
"maxoilcubevas","North","6",1953.84
"maxoilcubevas","North","7",1986.72
"maxoilcubevas","North","8",2022.53
"maxoilcubevas","North","9",2063.99
"maxoilcubevas","North","10",2108.23
"maxoilcubevas","South","1",607.37
"maxoilcubevas","South","2",609.97
"maxoilcubevas","South","3",614.30
"maxoilcubevas","South","4",1097.36
"maxoilcubevas","South","5",1102.05
"maxoilcubevas","South","6",1105.83
"maxoilcubevas","South","7",1109.68
"maxoilcubevas","South","8",1113.45
"maxoilcubevas","South","9",1115.38
"maxoilcubevas","South","10",1116.30
"maxoilcubevas","Cities","1",293.70
"maxoilcubevas","Cities","2",303.22
"maxoilcubevas","Cities","3",314.21
"maxoilcubevas","Cities","4",527.83
"maxoilcubevas","Cities","5",539.88
"maxoilcubevas","Cities","6",552.11
"maxoilcubevas","Cities","7",563.69
"maxoilcubevas","Cities","8",574.10
"maxoilcubevas","Cities","9",584.51
"maxoilcubevas","Cities","10",593.09
"vas","North","1",1030.99
"vas","North","2",1037.80
"vas","North","3",1045.86
"vas","North","4",1057.63
"vas","North","5",1072.50
"vas","North","6",1089.23
"vas","North","7",1107.81
"vas","North","8",1127.02
"vas","North","9",1149.33
"vas","North","10",1173.49
"vas","South","1",564.16
"vas","South","2",566.58
"vas","South","3",570.60
"vas","South","4",573.01
"vas","South","5",576.23
"vas","South","6",578.65
"vas","South","7",580.26
"vas","South","8",582.67
"vas","South","9",583.48
"vas","South","10",584.28
"vas","Cities","1",251.23
"vas","Cities","2",259.37
"vas","Cities","3",266.16
"vas","Cities","4",272.95
"vas","Cities","5",280.42
"vas","Cities","6",287.21
"vas","Cities","7",292.64
"vas","Cities","8",298.75
"vas","Cities","9",304.87
"vas","Cities","10",310.30
"cubevas","North","1",1030.99
"cubevas","North","2",1037.80
"cubevas","North","3",1045.86
"cubevas","North","4",1766.66
"cubevas","North","5",1793.16
"cubevas","North","6",1821.21
"cubevas","North","7",1851.83
"cubevas","North","8",1885.30
"cubevas","North","9",1924.04
"cubevas","North","10",1965.35
"cubevas","South","1",564.16
"cubevas","South","2",566.58
"cubevas","South","3",570.60
"cubevas","South","4",1077.85
"cubevas","South","5",1082.44
"cubevas","South","6",1086.13
"cubevas","South","7",1089.92
"cubevas","South","8",1093.62
"cubevas","South","9",1095.51
"cubevas","South","10",1096.41
"cubevas","Cities","1",251.23
"cubevas","Cities","2",259.37
"cubevas","Cities","3",266.16
"cubevas","Cities","4",510.62
"cubevas","Cities","5",522.20
"cubevas","Cities","6",534.01
"cubevas","Cities","7",545.25
"cubevas","Cities","8",555.27
"cubevas","Cities","9",565.29
"cubevas","Cities","10",573.53
"maxoilclinic","North","1",565.76
"maxoilclinic","North","2",569.50
"maxoilclinic","North","3",674.66
"maxoilclinic","North","4",682.25
"maxoilclinic","North","5",691.84
"maxoilclinic","North","6",702.64
"maxoilclinic","North","7",714.63
"maxoilclinic","North","8",727.02
"maxoilclinic","North","9",741.40
"maxoilclinic","North","10",756.99
"maxoilclinic","South","1",287.41
"maxoilclinic","South","2",288.64
"maxoilclinic","South","3",313.22
"maxoilclinic","South","4",314.55
"maxoilclinic","South","5",316.32
"maxoilclinic","South","6",317.64
"maxoilclinic","South","7",318.52
"maxoilclinic","South","8",319.85
"maxoilclinic","South","9",320.29
"maxoilclinic","South","10",320.73
"maxoilclinic","Cities","1",210.90
"maxoilclinic","Cities","2",217.74
"maxoilclinic","Cities","3",243.28
"maxoilclinic","Cities","4",249.49
"maxoilclinic","Cities","5",256.32
"maxoilclinic","Cities","6",262.52
"maxoilclinic","Cities","7",267.49
"maxoilclinic","Cities","8",273.07
"maxoilclinic","Cities","9",278.66
"maxoilclinic","Cities","10",283.62
"oilclinic","North","1",565.76
"oilclinic","North","2",569.50
"oilclinic","North","3",573.92
"oilclinic","North","4",580.38
"oilclinic","North","5",588.54
"oilclinic","North","6",597.72
"oilclinic","North","7",607.92
"oilclinic","North","8",618.46
"oilclinic","North","9",630.70
"oilclinic","North","10",643.96
"oilclinic","South","1",287.41
"oilclinic","South","2",288.64
"oilclinic","South","3",290.69
"oilclinic","South","4",291.92
"oilclinic","South","5",293.56
"oilclinic","South","6",294.79
"oilclinic","South","7",295.61
"oilclinic","South","8",296.84
"oilclinic","South","9",297.25
"oilclinic","South","10",297.66
"oilclinic","Cities","1",210.90
"oilclinic","Cities","2",217.74
"oilclinic","Cities","3",223.44
"oilclinic","Cities","4",229.14
"oilclinic","Cities","5",235.41
"oilclinic","Cities","6",241.11
"oilclinic","Cities","7",245.67
"oilclinic","Cities","8",250.80
"oilclinic","Cities","9",255.93
"oilclinic","Cities","10",260.49
"clinic","North","1",166.40
"clinic","North","2",167.50
"clinic","North","3",168.80
"clinic","North","4",170.70
"clinic","North","5",173.10
"clinic","North","6",175.80
"clinic","North","7",178.80
"clinic","North","8",181.90
"clinic","North","9",185.50
"clinic","North","10",189.40
"clinic","South","1",84.12
"clinic","South","2",84.48
"clinic","South","3",85.08
"clinic","South","4",85.44
"clinic","South","5",85.92
"clinic","South","6",86.28
"clinic","South","7",86.52
"clinic","South","8",86.88
"clinic","South","9",87.00
"clinic","South","10",87.12
"clinic","Cities","1",37.00
"clinic","Cities","2",38.20
"clinic","Cities","3",39.20
"clinic","Cities","4",40.20
"clinic","Cities","5",41.30
"clinic","Cities","6",42.30
"clinic","Cities","7",43.10
"clinic","Cities","8",44.00
"clinic","Cities","9",44.90
"clinic","Cities","10",45.70
"cubeclinic","North","1",166.40
"cubeclinic","North","2",167.50
"cubeclinic","North","3",168.80
"cubeclinic","North","4",1054.27
"cubeclinic","North","5",1070.75
"cubeclinic","North","6",1087.54
"cubeclinic","North","7",1105.64
"cubeclinic","North","8",1126.17
"cubeclinic","North","9",1149.89
"cubeclinic","North","10",1174.91
"cubeclinic","South","1",84.12
"cubeclinic","South","2",84.48
"cubeclinic","South","3",85.08
"cubeclinic","South","4",873.03
"cubeclinic","South","5",876.47
"cubeclinic","South","6",879.29
"cubeclinic","South","7",882.51
"cubeclinic","South","8",885.34
"cubeclinic","South","9",886.95
"cubeclinic","South","10",887.56
"cubeclinic","Cities","1",37.00
"cubeclinic","Cities","2",38.20
"cubeclinic","Cities","3",39.20
"cubeclinic","Cities","4",382.36
"cubeclinic","Cities","5",390.43
"cubeclinic","Cities","6",399.04
"cubeclinic","Cities","7",407.73
"cubeclinic","Cities","8",414.88
"cubeclinic","Cities","9",422.03
"cubeclinic","Cities","10",427.72
"oilcubeclinic","North","1",565.76
"oilcubeclinic","North","2",569.50
"oilcubeclinic","North","3",573.92
"oilcubeclinic","North","4",1437.87
"oilcubeclinic","North","5",1459.74
"oilcubeclinic","North","6",1482.59
"oilcubeclinic","North","7",1507.43
"oilcubeclinic","North","8",1534.93
"oilcubeclinic","North","9",1566.74
"oilcubeclinic","North","10",1600.53
"oilcubeclinic","South","1",287.41
"oilcubeclinic","South","2",288.64
"oilcubeclinic","South","3",290.69
